시술ID,시술명,카테고리,가격,소요시간,유지주기,추천고민,설명
1,기본 커트,컷,25000,40,6,머리 정리 다듬기 길이 조절 앞머리,기본 샴푸 포함 스타일 커트
2,남성 커트,컷,20000,30,4,남자 머리 짧은머리 투블럭 리프컷,남성 전용 스타일 커트
3,키즈 커트,컷,15000,20,6,아이 어린이 초등학생 유아,만 12세 이하 어린이 전용 커트
4,앞머리 커트,컷,8000,10,3,앞머리만 눈에 찔림 앞머리 정리,앞머리 트리밍만 진행
5,볼륨 매직,펌,120000,180,16,곱슬 부스스함 볼륨없음 아침세팅 힘듦 뻗침,뿌리 볼륨과 모발 정돈을 동시에 잡아주는 매직 스트레이트
6,디지털 펌,펌,130000,150,12,웨이브 컬 볼륨 풍성함 자연스러운 컬,열을 이용해 오래 유지되는 자연스러운 웨이브를 만듭니다
7,셋팅 펌,펌,100000,120,8,볼륨 뿌리펌 납작함 힘없는머리 얇은머리,뿌리에 볼륨을 넣어 자연스러운 실루엣을 만드는 펌
8,다운 펌,펌,90000,90,10,뜨는머리 숱많음 옆머리벌어짐 앞머리뜸,머리카락이 뜨거나 벌어지는 분들을 위한 눌림 펌
9,전체 염색,염색,80000,90,8,머리색 변경 칙칙함 분위기전환 이미지변신,전체 모발 컬러 변경 염색
10,루트 리터치,염색,45000,60,5,새치 뿌리 자란머리 염색 유지,자란 뿌리 부분만 기존 색상에 맞춰 염색합니다
11,탈색,염색,70000,90,8,밝은색 애쉬 탈색 블리치 하이톤,모발 색소를 제거해 밝은 컬러 표현이 가능하게 합니다
12,새치 커버,염색,55000,60,4,새치 흰머리 나이들어보임 자연스러운커버,새치를 자연스럽게 커버하는 전용 염색
13,발레아쥬,염색,150000,150,16,그라데이션 자연스러운 하이라이트 입체감,모발에 자연스러운 명암을 넣어 입체적인 컬러를 표현합니다
14,클리닉 기본,클리닉,40000,40,4,손상모 푸석함 갈라짐 윤기없음 건조,손상된 모발에 영양을 공급해 윤기와 탄력을 되살립니다
15,두피 클리닉,클리닉,60000,50,4,두피 가려움 비듬 탈모예방 기름짐,두피 스케일링과 영양 공급으로 건강한 두피 환경을 만듭니다
16,케라틴 트리트먼트,클리닉,80000,60,6,극손상 열손상 끊어짐 탄력없음 곱슬개선,케라틴 성분으로 모발 내부를 채워 매끈하고 건강한 머릿결을 만듭니다
17,염색 후 클리닉,클리닉,35000,30,4,염색후 손상 색빠짐 퇴색방지 컬러유지,염색 후 컬러를 오래 유지하고 손상을 최소화하는 트리트먼트
18,커트 + 볼륨매직,세트,135000,210,16,곱슬 부스스 전체정리 올인원,커트와 볼륨매직을 함께 받으면 할인된 가격에 이용 가능합니다
19,커트 + 염색,세트,95000,120,6,분위기전환 전체정리 색변경,커트와 전체 염색을 세트로 받는 합리적인 패키지
20,커트 + 클리닉,세트,58000,70,4,손상케어 정리 푸석함 윤기,커트 후 클리닉을 함께 진행해 건강한 모발을 유지합니다
